id,city,lat,lng,country,capital
10975,Marsa,35.8833,14.4947,Malta,1
10976,Trakai,54.6333,24.9333,Lithuania,1
10977,Şoldăneşti,47.8167,28.8,Moldova,1
10978,Mwatate,-3.5047,38.3778,Kenya,1
10979,Outapi,-17.5167,15,Namibia,1
10980,Għaxaq,35.8483,14.5172,Malta,1
10981,Črnomelj,45.5711,15.1889,Slovenia,1
10982,Idrija,46.0025,14.0275,Slovenia,1
10983,Ranillug,42.492,21.559,Kosovo,1
10984,Lija,35.9014,14.4472,Malta,1
10985,Balvi,57.1333,27.25,Latvia,1
10986,Carrick on Shannon,53.944,-8.095,Ireland,1
10987,Hrastnik,46.1479,15.1528,Slovenia,1
10988,Molėtai,55.2333,25.4167,Lithuania,1
10989,Sisimiut,66.9389,-53.6722,Greenland,1
10990,Stratford,-39.3333,174.2833,New Zealand,1
10991,Halba,34.5506,36.0781,Lebanon,1
10992,Xocavənd,39.7953,47.1131,Azerbaijan,1
10993,Fulin,29.3489,102.6767,China,
10994,Masunga,-20.6667,27.4167,Botswana,1
10995,Gospić,44.546,15.375,Croatia,1
10996,Wiltz,49.9667,5.9333,Luxembourg,1
10997,Cacheu,12.2667,-16.1667,Guinea-Bissau,1
10998,Babək,39.1519,45.4417,Azerbaijan,1
10999,Nieuw Amsterdam,5.8833,-55.0833,Suriname,1
11000,Kazlų Rūda,54.75,23.5,Lithuania,1
11001,Petnjica,42.9089,19.9644,Montenegro,1
11002,Mali Iđoš,45.7069,19.6644,Serbia,1
11003,Šakiai,54.95,23.05,Lithuania,1
11004,Thaba-Tseka,-29.5333,28.6,Lesotho,1
11005,Kanifing,13.45,-16.6667,The Gambia,1
11006,Triesen,47.1,9.5333,Liechtenstein,1
11007,Xagħra,36.0503,14.2675,Malta,1
11008,Partesh,42.4019,21.4336,Kosovo,1
11009,Napak,2.1156,34.2267,Uganda,1
11010,Skuodas,56.2667,21.5333,Lithuania,1
11011,Kalangala,-0.3214,32.2919,Uganda,1
11012,Kirakira,-10.45,161.9167,Solomon Islands,1
11013,Tarrafal,16.566,-24.357,Cabo Verde,1
11014,Ķekava,56.8333,24.2333,Latvia,1
11015,Albina,5.5,-54.05,Suriname,1
11016,Pembroke,35.9264,14.4808,Malta,1
11017,Slovenske Konjice,46.3383,15.4233,Slovenia,1
11018,Grevenmacher,49.6806,6.4417,Luxembourg,1
11019,Danilovgrad,42.61,19.05,Montenegro,1
11020,Palé,-1.4069,5.6322,Equatorial Guinea,1
11021,Smiltene,57.4333,25.9,Latvia,1
11022,Liquiçá,-8.5935,125.3273,Timor-Leste,1
11023,Ilulissat,69.2167,-51.1,Greenland,1
11024,Nadur,36.0381,14.295,Malta,1
11025,Ignalina,55.35,26.1667,Lithuania,1
11026,Vrapčište,41.8337,20.8851,Macedonia,1
11027,Žalec,46.251,15.1639,Slovenia,1
11028,Punta Gorda,16.1005,-88.8074,Belize,1
11029,Samtse,27.0333,89.0833,Bhutan,1
11030,Gevgelija,41.1392,22.5025,Macedonia,1
11031,Bu’aale,1.0833,42.5833,Somalia,1
11032,Aībak,36.2653,68.0167,Afghanistan,1
11033,Mauren,47.2167,9.5333,Liechtenstein,1
11034,Iklin,35.9042,14.4544,Malta,1
11035,Šentjur,46.2176,15.396,Slovenia,1
11036,Bled,46.3688,14.114,Slovenia,1
11037,Ordino,42.555,1.5331,Andorra,1
11038,Tuzi,42.3656,19.3314,Montenegro,1
11039,Bolama,11.5767,-15.4828,Guinea-Bissau,1
11040,Eschen,47.2167,9.5167,Liechtenstein,1
11041,Ponta do Sol,17.202,-25.093,Cabo Verde,1
11042,Irig,45.1,19.85,Serbia,1
11043,Dispur,26.15,91.77,India,1
11044,Balzers,47.0667,9.5,Liechtenstein,1
11045,Klaksvík,62.2375,-6.539,Faroe Islands,1
11046,Tolmin,46.1857,13.7352,Slovenia,1
11047,Viligili,0.7569,73.4361,Maldives,1
11048,Kuala Belait,4.5828,114.1918,Brunei,1
11049,Bururi,-3.95,29.6167,Burundi,1
11050,Čoka,45.9333,20.15,Serbia,1
11051,Šilalė,55.4833,22.1833,Lithuania,1
11052,Radoviš,41.6381,22.4644,Macedonia,1
11053,Kalkara,35.8892,14.5294,Malta,1
11054,Opovo,45.0519,20.4303,Serbia,1
11055,Imqabba,35.8442,14.4669,Malta,1
11056,Miklavž na Dravskem Polju,46.5057,15.6993,Slovenia,1
11057,Bueng Kan,18.3672,103.6497,Thailand,1
11058,Sevnica,46.0092,15.3041,Slovenia,1
11059,Remich,49.5444,6.3667,Luxembourg,1
11060,Valka,57.7667,26,Latvia,1
11061,Pakruojis,55.9667,23.8667,Lithuania,1
11062,Fuerte Olimpo,-21.0375,-57.8708,Paraguay,1
11063,Švenčionys,55.1333,26.1556,Lithuania,1
11064,Qıvraq,39.3997,45.1131,Azerbaijan,1
11065,Şuşa,39.7583,46.7483,Azerbaijan,1
11066,Black River,18.0257,-77.8509,Jamaica,1
11067,Trzin,46.1353,14.56,Slovenia,1
11068,Dravograd,46.5903,15.0236,Slovenia,1
11069,Floriana,35.8933,14.5058,Malta,1
11070,Tržič,46.3581,14.293,Slovenia,1
11071,João Teves,15.068,-23.589,Cabo Verde,1
11072,Nwoya,2.635,32,Uganda,1
11073,Ilirska Bistrica,45.5679,14.2527,Slovenia,1
11074,Ta’ Xbiex,35.8992,14.4981,Malta,1
11075,Gudja,35.8483,14.5025,Malta,1
11076,Cerknica,45.7964,14.3581,Slovenia,1
11077,Marsaxlokk,35.8417,14.5447,Malta,1
11078,Laško,46.1563,15.2386,Slovenia,1
11079,Ruše,46.5386,15.5154,Slovenia,1
11080,Zreče,46.375,15.3854,Slovenia,1
11081,Šempeter pri Gorici,45.9284,13.6378,Slovenia,1
11082,Dingli,35.8603,14.3814,Malta,1
11083,Bensonville,6.4456,-10.6097,Liberia,1
11084,La Palma,8.41,-78.15,Panama,1
11085,Calheta de São Miguel,15.186,-23.593,Cabo Verde,1
11086,Kirkop,35.8419,14.485,Malta,1
11087,Wabag,-5.4919,143.7217,Papua New Guinea,1
11088,Għargħur,35.9241,14.4534,Malta,1
11089,Canillo,42.5667,1.6,Andorra,1
11090,Žiri,46.0469,14.1097,Slovenia,1
11091,Gornja Radgona,46.6752,15.9926,Slovenia,1
11092,Butalangu,0.8228,32.2428,Uganda,1
11093,Domagnano,43.95,12.4667,San Marino,1
11094,Kaberamaido,1.7667,33.1522,Uganda,1
11095,Kalvarija,54.4167,23.2167,Lithuania,1
11096,Omuthiya,-18.3606,16.5812,Namibia,1
11097,Xewkija,36.0331,14.2583,Malta,1
11098,Qobustan,40.5367,48.9328,Azerbaijan,1
11099,Ağdam,39.9833,46.9167,Azerbaijan,1
11100,Trebnje,45.9104,15.0086,Slovenia,1
11101,Deçan,42.5333,20.2833,Kosovo,1
11102,Kärdla,58.9981,22.7467,Estonia,1
11103,Plandište,45.2269,21.1217,Serbia,1
11104,Lazdijai,54.2333,23.5167,Lithuania,1
11105,Ribnica,45.74,14.7308,Slovenia,1
11106,Piran,45.5283,13.5683,Slovenia,1
11107,Janjanbureh,13.5341,-14.7662,The Gambia,1
11108,Cankuzo,-3.2194,30.5528,Burundi,1
11109,Šoštanj,46.3798,15.0482,Slovenia,1
11110,Brezovica,46.0207,14.4178,Slovenia,1
11111,Massenya,11.4,16.1667,Chad,1
11112,Ljutomer,46.5168,16.2027,Slovenia,1
11113,Imġarr,35.9197,14.3664,Malta,1
11114,Berovo,41.7078,22.8564,Macedonia,1
11115,São João dos Angolares,0.1333,6.65,Sao Tome and Principe,1
11116,Mongar,27.275,91.24,Bhutan,1
11117,Ankaran,45.5793,13.7379,Slovenia,1
11118,Kruševo,41.37,21.2483,Macedonia,1
11119,Imtarfa,35.8908,14.3969,Malta,1
11120,Xai,20.6914,101.9861,Laos,1
11121,Colonia,9.5167,138.1333,Federated States of Micronesia,1
11122,Sveti Nikole,41.865,21.9425,Macedonia,1
11123,Tutin,42.9875,20.3256,Serbia,1
11124,Cantemir,46.2667,28.2167,Moldova,1
11125,Xgħajra,35.8864,14.5472,Malta,1
11126,Šenčur,46.243,14.4181,Slovenia,1
11127,Alibunar,45.0806,20.9656,Serbia,1
11128,Ivančna Gorica,45.9374,14.8029,Slovenia,1
11129,Malishevë,42.4828,20.7461,Kosovo,1
11130,Ainaro,-8.9833,125.5,Timor-Leste,1
11131,Żebbuġ,36.0708,14.2369,Malta,1
11132,Fish Town,5.1964,-7.8756,Liberia,1
11133,Qrendi,35.8342,14.4589,Malta,1
11134,Škofljica,45.9836,14.5761,Slovenia,1
11135,Lenart v Slovenskih Goricah,46.5742,15.8322,Slovenia,1
11136,Ulbroka,56.9333,24.2833,Latvia,1
11137,Buala,-8.1333,159.5833,Solomon Islands,1
11138,Mežica,46.5206,14.8536,Slovenia,1
11139,Železniki,46.2182,14.1592,Slovenia,1
11140,Demir Kapija,41.4114,22.2422,Macedonia,1
11141,Saulkrasti,57.25,24.4167,Latvia,1
11142,Golubovci,42.3344,19.2253,Montenegro,1
11143,Rietavas,55.7167,21.9333,Lithuania,1
11144,Groningen,5.8,-55.4667,Suriname,1
11145,Metlika,45.6517,15.32,Slovenia,1
11146,Qaqortoq,60.7222,-46.0403,Greenland,1
11147,Štore,46.2219,15.3111,Slovenia,1
11148,Għajnsielem,36.0269,14.2903,Malta,1
11149,Veymandoo,2.1881,73.0947,Maldives,1
11150,Balaka,-14.9889,34.9591,Malawi,1
11151,Şahbuz,39.4072,45.5739,Azerbaijan,1
11152,Birštonas,54.6028,24.0206,Lithuania,1
11153,Trashigang,27.3326,91.5528,Bhutan,1
11154,Borovnica,45.9197,14.3572,Slovenia,1
11155,Porto Inglês,15.138,-23.211,Cabo Verde,1
11156,Delčevo,41.9661,22.7747,Macedonia,1
11157,Aasiaat,68.7097,-52.8694,Greenland,1
11158,Safi,35.8333,14.485,Malta,1
11159,Rogašovci,46.8053,16.0344,Slovenia,1
11160,Rače,46.4529,15.6812,Slovenia,1
11161,Lethem,3.3833,-59.8,Guyana,1
11162,Mabaruma,8.2,-59.7833,Guyana,1
11163,Polzela,46.2809,15.074,Slovenia,1
11164,Lendava,46.5631,16.4519,Slovenia,1
11165,Bogdanci,41.2031,22.5728,Macedonia,1
11166,Damān,20.4169,72.834,India,1
11167,Vojnik,46.2933,15.3052,Slovenia,1
11168,Thulusdhoo,4.3742,73.6517,Maldives,1
11169,Žitište,45.4833,20.55,Serbia,1
11170,Fiorentino,43.9106,12.4556,San Marino,1
11171,Manadhoo,5.7628,73.4106,Maldives,1
11172,Sowa Town,-20.5636,26.2244,Botswana,1
11173,Bopolu,7.0667,-10.4875,Liberia,1
11174,Ta Khmau,11.4833,104.95,Cambodia,1
11175,São Domingos,15.028,-23.563,Cabo Verde,1
11176,Radlje ob Dravi,46.6152,15.2264,Slovenia,1
11177,Kerewan,13.5,-16.0833,The Gambia,1
11178,Radenci,46.65,16.05,Slovenia,1
11179,Fontana,36.0364,14.2422,Malta,1
11180,Aranđelovac,44.3042,20.5561,Serbia,1
11181,Rasdhoo,4.2631,72.9919,Maldives,1
11182,Dhihdhoo,6.8874,73.114,Maldives,1
11183,Mozirje,46.3381,14.9572,Slovenia,1
11184,Trashi Yangtse,27.5833,91.4667,Bhutan,1
11185,Barclayville,4.6797,-8.2339,Liberia,1
11186,Kolašin,42.8236,19.5225,Montenegro,1
11187,Triesenberg,47.1181,9.5433,Liechtenstein,1
11188,Muta,46.6167,15.1667,Slovenia,1
11189,Amudat,1.9522,34.9444,Uganda,1
11190,Trongsa,27.4994,90.5047,Bhutan,1
11191,Negotino,41.4839,22.0892,Macedonia,1
11192,Cerklje na Gorenjskem,46.2488,14.4855,Slovenia,1
11193,Sannat,36.0244,14.2458,Malta,1
11194,Qala,36.0353,14.3103,Malta,1
11195,Šmarje,46.2281,15.5182,Slovenia,1
11196,Kllokot,42.3667,21.3833,Kosovo,1
11197,Cestos City,5.4667,-9.5833,Liberia,1
11198,Tofol,5.3258,163.0086,Federated States of Micronesia,1
11199,Ruggell,47.245,9.5332,Liechtenstein,1
11200,Acquaviva,43.9457,12.4185,San Marino,1
11201,Mahdia,5.2667,-59.15,Guyana,1
11202,Spodnje Hoče,46.4996,15.6471,Slovenia,1
11203,Ivanjica,43.5811,20.2297,Serbia,1
11204,Vevčani,41.2403,20.5931,Macedonia,1
11205,Črna na Koroškem,46.4697,14.849,Slovenia,1
11206,Beltinci,46.606,16.2328,Slovenia,1
11207,Ig,45.9692,14.5394,Slovenia,1
11208,Kabarnet,0.494,35.744,Kenya,1
11209,Afega,-13.8019,-171.8217,Samoa,1
11210,Prebold,46.2369,15.0919,Slovenia,1
11211,Nida,55.3033,21.0056,Lithuania,1
11212,Pivka,45.6833,14.2,Slovenia,1
11213,Vianden,49.9336,6.2075,Luxembourg,1
11214,Zhemgang,27.2134,90.655,Bhutan,1
11215,Sariwŏn-si,38.5242,125.7547,North Korea,1
11216,Laçın,39.6408,46.5469,Azerbaijan,1
11217,Kerċem,36.0406,14.2297,Malta,1
11218,Lovrenc na Pohorju,46.5381,15.3844,Slovenia,1
11219,Capellen,49.6444,5.9897,Luxembourg,1
11220,Heydərabad,39.7203,44.8531,Azerbaijan,1
11221,Onverwacht,5.5931,-55.1939,Suriname,1
11222,Naklo,46.2749,14.3176,Slovenia,1
11223,Gradsko,41.5775,21.9428,Macedonia,1
11224,Straža,45.7864,15.0745,Slovenia,1
11225,Cidade Velha,14.916,-23.606,Cabo Verde,1
11226,Priboj,43.5836,19.5258,Serbia,1
11227,Semič,45.6546,15.1783,Slovenia,1
11228,Migori,-1.0634,34.4731,Kenya,1
11229,Totness,5.8775,-56.3292,Suriname,1
11230,Spodnji Duplek,46.5053,15.7467,Slovenia,1
11231,Šentjernej,45.8389,15.3361,Slovenia,1
11232,Miren,45.8962,13.6072,Slovenia,1
11233,Felidhoo,3.4717,73.5472,Maldives,1
11234,Chiradzulu,-15.7,35.1833,Malawi,1
11235,Same,-9,125.65,Timor-Leste,1
11236,Jagodina,43.975,21.2564,Serbia,1
11237,Sofifi,0.7244,127.5806,Indonesia,1
11238,Vipava,45.8476,13.9624,Slovenia,1
11239,Ambrolauri,42.5194,43.15,Georgia,1
11240,Tulagi,-9.1014,160.1467,Solomon Islands,1
11241,Zgornja Kungota,46.6388,15.6141,Slovenia,1
11242,Radeče,46.0658,15.1728,Slovenia,1
11243,Valandovo,41.3169,22.5611,Macedonia,1
11244,Damongo,9.0833,-1.8167,Ghana,1
11245,Djibloho,1.5889,10.8225,Equatorial Guinea,1
11246,Ormož,46.4086,16.1475,Slovenia,1
11247,Vuzenica,46.5992,15.1669,Slovenia,1
11248,Lifford,54.834,-7.486,Ireland,1
11249,Munxar,36.0303,14.2353,Malta,1
11250,Kriva Palanka,42.2017,22.3317,Macedonia,1
11251,Bohinjska Bistrica,46.2742,13.9524,Slovenia,1
11252,Divača,45.682,13.9702,Slovenia,1
11253,Kratovo,42.0783,22.175,Macedonia,1
11254,Žabljak,43.155,19.1208,Montenegro,1
11255,Gamprin,47.2167,9.5,Liechtenstein,1
11256,Šmartno,46.0441,14.8466,Slovenia,1
11257,Krivogaštani,41.3358,21.3331,Macedonia,1
11258,Nyamira,-0.5633,34.9358,Kenya,1
11259,Zrnovci,41.8542,22.4442,Macedonia,1
11260,Mislinja,46.4431,15.1931,Slovenia,1
11261,Sopište,41.95,21.4333,Macedonia,1
11262,Vodice,46.1833,14.4833,Slovenia,1
11263,Trim,53.555,-6.7917,Ireland,1
11264,Rogatec,46.2243,15.7052,Slovenia,1
11265,Għarb,36.0611,14.2092,Malta,1
11266,Odranci,46.5856,16.2753,Slovenia,1
11267,Selnica ob Dravi,46.5514,15.4947,Slovenia,1
11268,Dragomer,46.0189,14.382,Slovenia,1
11269,Nazarje,46.3202,14.9531,Slovenia,1
11270,Vreed-en-Hoop,6.8076,-58.1815,Guyana,1
11271,Oplotnica,46.386,15.4458,Slovenia,1
11272,Šabac,44.7558,19.6939,Serbia,1
11273,Machinga,-14.9667,35.5167,Malawi,1
11274,Varakļāni,56.6,26.75,Latvia,1
11275,Mirna,45.9476,15.0664,Slovenia,1
11276,Pehčevo,41.7592,22.8906,Macedonia,1
11277,Ropaži,56.9718,24.6318,Latvia,1
11278,Gusinje,42.5619,19.8339,Montenegro,1
11279,Turnišče,46.6194,16.3223,Slovenia,1
11280,Plasnica,41.4667,21.1167,Macedonia,1
11281,Smederevo,44.6633,20.9289,Serbia,1
11282,Pārūn,35.4167,70.9169,Afghanistan,1
11283,Arilje,43.7531,20.0956,Serbia,1
11284,Tearce,42.0775,21.0519,Macedonia,1
11285,Vladičin Han,42.7,22.0667,Serbia,1
11286,Cerkno,46.1283,13.9915,Slovenia,1
11287,Xızı,40.9078,49.0733,Azerbaijan,1
11288,Sotik Post,-0.7813,35.3416,Kenya,1
11289,Bovec,46.3378,13.5522,Slovenia,1
11290,Nova Varoš,43.4667,19.8203,Serbia,1
11291,Kanal,46.088,13.6347,Slovenia,1
11292,Poljčane,46.3135,15.5791,Slovenia,1
11293,Clervaux,50.05,6.0333,Luxembourg,1
11294,Isangel,-19.53,169.28,Vanuatu,1
11295,Murang’a,-0.7167,37.15,Kenya,1
11296,Tabor,46.2108,15.0047,Slovenia,1
11297,Nova Crnja,45.6667,20.6,Serbia,1
11298,Mogila,41.1083,21.3786,Macedonia,1
11299,Moravče,46.1356,14.7439,Slovenia,1
11300,Horjul,46.023,14.2981,Slovenia,1
11301,Kuršumlija,43.1408,21.2678,Serbia,1
11302,Dornava,46.4299,15.9488,Slovenia,1
11303,Kranjska Gora,46.4854,13.7871,Slovenia,1
11304,Aleksandrovac,43.4553,21.0514,Serbia,1
11305,Xékong,15.3503,106.7286,Laos,1
11306,Šmartno,46.3297,15.0325,Slovenia,1
11307,Kidričevo,46.406,15.7983,Slovenia,1
11308,Xocalı,39.9111,46.7892,Azerbaijan,1
11309,Leulumoega,-13.8167,-171.9167,Samoa,1
11310,Nilandhoo,3.0567,72.89,Maldives,1
11311,Taro,-6.7111,156.3972,Solomon Islands,1
11312,Schellenberg,47.2336,9.5481,Liechtenstein,1
11313,Santo António,1.6367,7.4178,Sao Tome and Principe,1
11314,Plužine,43.15,18.83,Montenegro,1
11315,Gornji Milanovac,44.0212,20.456,Serbia,1
11316,Vitanje,46.3825,15.2956,Slovenia,1
11317,Faetano,43.9256,12.4983,San Marino,1
11318,Gorenja Vas,46.1069,14.1451,Slovenia,1
11319,Safotu,-13.4528,-172.4036,Samoa,1
11320,Svrljig,43.4167,22.1167,Serbia,1
11321,Novo Selo,41.4128,22.88,Macedonia,1
11322,Ljubno,46.3333,14.8333,Slovenia,1
11323,Oranjestad,17.4833,-62.9833,"Bonaire, Sint Eustatius, and Saba",1
11324,Novaci,41.0419,21.4561,Macedonia,1
11325,Rosoman,41.5161,21.9497,Macedonia,1
11326,Lata,-10.7167,165.8333,Solomon Islands,1
11327,Komenda,46.2073,14.539,Slovenia,1
11328,Črenšovci,46.5747,16.2937,Slovenia,1
11329,Montegiardino,43.9089,12.4844,San Marino,1
11330,Benedikt,46.6065,15.8842,Slovenia,1
11331,‘Amrān,15.6594,43.9439,Yemen,1
11332,Raška,43.2856,20.6092,Serbia,1
11333,Pirot,43.1519,22.585,Serbia,1
11334,Prokuplje,43.2339,21.5861,Serbia,1
11335,Stari Trg,45.7142,14.4695,Slovenia,1
11336,Mirna Peč,45.858,15.0876,Slovenia,1
11337,Asau,-13.5194,-172.6372,Samoa,1
11338,Brus,43.3836,21.0336,Serbia,1
11339,Surdulica,42.695,22.1672,Serbia,1
11340,Bosilovo,41.4406,22.7278,Macedonia,1
11341,Daga,27.0667,89.8833,Bhutan,1
11342,Gorišnica,46.4122,16.0131,Slovenia,1
11343,Ub,44.45,20.0667,Serbia,1
11344,Lučani,43.8667,20.1333,Serbia,1
11345,Muli,2.9217,73.5811,Maldives,1
11346,Gornji Grad,46.2961,14.8052,Slovenia,1
11347,Pesnica,46.6099,15.6714,Slovenia,1
11348,Kobarid,46.2464,13.578,Slovenia,1
11349,Andrijevica,42.73,19.79,Montenegro,1
11350,Središče ob Dravi,46.3933,16.2722,Slovenia,1
11351,Sveta Trojica v Slovenskih Goricah,46.5756,15.8769,Slovenia,1
11352,Veržej,46.5818,16.1623,Slovenia,1
11353,Lufilufi,-13.85,-171.5833,Samoa,1
11354,Dobrova,46.0533,14.4144,Slovenia,1
11355,Videm pri Ptuju,46.3699,15.8935,Slovenia,1
11356,Požega,43.8459,20.0368,Serbia,1
11357,Neno,-15.3981,34.6534,Malawi,1
11358,Isale,-3.3444,29.4833,Burundi,1
11359,Dobrovnik,46.6515,16.3479,Slovenia,1
11360,Jegunovce,42.0731,21.1231,Macedonia,1
11361,Siaya,0.0667,34.2833,Kenya,1
11362,Velika Polana,46.5719,16.3472,Slovenia,1
11363,Mahonda,-5.9897,39.2519,Tanzania,1
11364,Konče,41.4958,22.3825,Macedonia,1
11365,Dolenjske Toplice,45.7545,15.0583,Slovenia,1
11366,Kostanjevica na Krki,45.8463,15.4249,Slovenia,1
11367,Smederevska Palanka,44.3655,20.9587,Serbia,1
11368,Dol,46.0884,14.6425,Slovenia,1
11369,Chikwawa,-16.035,34.801,Malawi,1
11370,Preddvor,46.3052,14.4203,Slovenia,1
11371,Zgornja Hajdina,46.4057,15.8385,Slovenia,1
11372,San Lawrenz,36.055,14.2042,Malta,1
11373,Namutumba,0.8363,33.6858,Uganda,1
11374,Fonadhoo,1.8342,73.5031,Maldives,1
11375,Starše,46.4664,15.7675,Slovenia,1
11376,Sodražica,45.7616,14.6363,Slovenia,1
11377,Babušnica,43.068,22.4115,Serbia,1
11378,Vlasotince,42.9667,22.1333,Serbia,1
11379,Ljubovija,44.1869,19.3728,Serbia,1
11380,Lajkovac,44.3667,20.1667,Serbia,1
11381,Rostuša,41.61,20.6,Macedonia,1
11382,Majšperk,46.35,15.7333,Slovenia,1
11383,Kosjerić,44,19.9167,Serbia,1
11384,P’yŏngsŏng-si,39.2828,125.8633,North Korea,1
11385,Mionica,44.25,20.0833,Serbia,1
11386,Velike Lašče,45.8363,14.6377,Slovenia,1
11387,Bela Palanka,43.2178,22.3067,Serbia,1
11388,Asaba,6.1833,6.75,Nigeria,1
11389,Moravske-Toplice,46.6927,16.2281,Slovenia,1
11390,Videm,45.8484,14.6944,Slovenia,1
11391,Dobrna,46.3381,15.2293,Slovenia,1
11392,Vailoa,-13.7558,-172.3064,Samoa,1
11393,Aïn Defla,36.2583,1.9583,Algeria,1
11394,Bukwo,1.2928,34.7531,Uganda,1
11395,Nkurenkuru,-17.6167,18.6,Namibia,1
11396,Obleševo,41.8833,22.3339,Macedonia,1
11397,Kapenguria,1.2333,35.1167,Kenya,1
11398,Puconci,46.7039,16.1572,Slovenia,1
11399,Širvintos,55.0361,24.9694,Lithuania,1
11400,Mokronog,45.9426,15.149,Slovenia,1
11401,Rankovce,42.1719,22.1167,Macedonia,1
11402,Petrovec,41.9389,21.615,Macedonia,1
11403,Rečica,46.3247,14.9228,Slovenia,1
11404,Yenagoa,4.9267,6.2676,Nigeria,1
11405,Umm Şalāl ‘Alī,25.4697,51.3975,Qatar,1
11406,Lakatoro,-16.1069,167.4208,Vanuatu,1
11407,Kozje,46.074,15.559,Slovenia,1
11408,Komen,45.8159,13.7507,Slovenia,1
11409,Križevci,46.5631,16.1399,Slovenia,1
11410,Hvalba,61.6,-6.9556,Faroe Islands,1
11411,Qubadlı,39.3439,46.5797,Azerbaijan,1
11412,Aranguez,10.6472,-61.4461,Trinidad and Tobago,1
11413,Maracha,3.2883,30.9408,Uganda,1
11414,Markovci,46.3956,15.9314,Slovenia,1
11415,Šmarješke Toplice,45.8622,15.2214,Slovenia,1
11416,Požarevac,44.62,21.1897,Serbia,1
11417,Krupanj,44.3667,19.3667,Serbia,1
11418,Karbinci,41.8167,22.2375,Macedonia,1
11419,Vasilevo,41.4758,22.6417,Macedonia,1
11420,Bangar,4.7086,115.0739,Brunei,1
11421,Knjaževac,43.5,22.4333,Serbia,1
11422,Picos,15.083,-23.632,Cabo Verde,1
11423,Luče,46.3565,14.7436,Slovenia,1
11424,Grad,46.7977,16.0984,Slovenia,1
11425,Zaječar,43.9042,22.2847,Serbia,1
11426,Podčetrtek,46.1573,15.5974,Slovenia,1
11427,Apače,46.6967,15.9111,Slovenia,1
11428,Paraćin,43.8667,21.4167,Serbia,1
11429,Lebane,42.9167,21.7333,Serbia,1
11430,Lukovica,46.1686,14.6892,Slovenia,1
11431,Đà Lạt,11.9359,108.4429,Vietnam,1
11432,Binyin,1.4175,34.5344,Uganda,1
11433,Għasri,36.0583,14.2278,Malta,1
11434,The Bottom,17.6261,-63.2492,"Bonaire, Sint Eustatius, and Saba",1
11435,Rača,44.2333,20.9833,Serbia,1
11436,Mila,36.4481,6.2622,Algeria,1
11437,Tigoa,-11.5583,160.0706,Solomon Islands,1
11438,Cirkulane,46.3436,15.9941,Slovenia,1
11439,Dobrovo,45.9989,13.5296,Slovenia,1
11440,Zgornje Gorje,46.3801,14.0684,Slovenia,1
11441,Saleaula,-13.4501,-172.3335,Samoa,1
11442,Bulambuli,1.16,34.3967,Uganda,1
11443,Šentrupert,45.9769,15.0897,Slovenia,1
11444,Aileu,-8.7281,125.5664,Timor-Leste,1
11445,Makedonski Brod,41.5133,21.2153,Macedonia,1
11446,Aleksinac,43.5383,21.7047,Serbia,1
11447,Kobilje,46.6837,16.3953,Slovenia,1
11448,Vwawa,-9.1081,32.9347,Tanzania,1
11449,Planken,47.1833,9.5333,Liechtenstein,1
11450,Staro Nagoričane,42.2,21.83,Macedonia,1
11451,Zgornje Jezersko,46.3951,14.4966,Slovenia,1
11452,Osečina,44.3667,19.6,Serbia,1
11453,Demir Hisar,41.2208,21.2031,Macedonia,1
11454,Weno,7.45,151.85,Federated States of Micronesia,1
11455,Jincheng,24.4167,118.3167,Taiwan,1
11456,Sveti Jurij,46.5683,16.0203,Slovenia,1
11457,Kuzma,46.8333,16.0833,Slovenia,1
11458,Despotovac,44.0833,21.4333,Serbia,1
11459,Čajetina,43.75,19.7167,Serbia,1
11460,Namayingo,0.2398,33.8849,Uganda,1
11461,Cankova,46.7193,16.0179,Slovenia,1
11462,Lozovo,41.7817,21.9025,Macedonia,1
11463,Santa Cruz,14.1167,121.2833,Philippines,1
11464,Centar Župa,41.4775,20.5578,Macedonia,1
11465,Ljig,44.2213,20.2375,Serbia,1
11466,Butebo,1.1944,33.9222,Uganda,1
11467,Juršinci,46.4853,15.971,Slovenia,1
11468,Koani,-6.1333,39.2833,Tanzania,1
11469,Imdina,35.8858,14.4031,Malta,1
11470,Nova Vas,45.7726,14.5064,Slovenia,1
11471,Destrnik,46.4923,15.8801,Slovenia,1
11472,Varvarin,43.7167,21.3667,Serbia,1
11473,Skopun,61.9125,-6.8719,Faroe Islands,1
11474,Gornji Petrovci,46.805,16.2172,Slovenia,1
11475,Ribnica,46.5372,15.2733,Slovenia,1
11476,Kon Tum,14.3544,108.0075,Vietnam,1
11477,Šavnik,42.95,19.1,Montenegro,1
11478,Podlehnik,46.3361,15.8786,Slovenia,1
11479,Busesa,0.6263,33.6003,Uganda,1
11480,Dharamshāla,32.2186,76.3183,India,1
11481,Dhuusamarreeb,5.535,46.3861,Somalia,1
11482,Buabidi,8.4667,-81.7,Panama,1
11483,Brvenica,41.9672,20.9808,Macedonia,1
11484,Belčišta,41.3028,20.8303,Macedonia,1
11485,Makole,46.3174,15.6669,Slovenia,1
11486,Crna Trava,42.8101,22.299,Serbia,1
11487,Trnovska Vas,46.5231,15.8978,Slovenia,1
11488,Mali Zvornik,44.3992,19.1214,Serbia,1
11489,Jurovski Dol,46.6087,15.7796,Slovenia,1
11490,Hvannasund,62.2833,-6.5167,Faroe Islands,1
