id,city,lat,lng,country,capital
140,Abidjan,5.3167,-4.0333,Côte d'Ivoire,0
141,Suqian,33.9331,118.2831,China,
142,Huaihua,27.5494,109.9592,China,
143,Ji’an,27.1172,114.9793,China,0
144,Xiaoganzhan,30.9273,113.911,China,
145,Pingdingshan,33.735,113.2999,China,
146,Jiujiang,29.7048,116.0021,China,0
147,Alexandria,31.1975,29.8925,Egypt,1
148,Mianyang,31.4669,104.7385,China,0
149,Sydney,-33.8678,151.21,Australia,1
150,Huanglongsi,34.795,114.345,China,
151,Washington,38.9047,-77.0163,United States,0
152,Barcelona,41.3825,2.1769,Spain,1
153,Changsha,28.1987,112.9709,China,1
154,Chenzhou,25.7989,113.0267,China,0
155,Anqing,30.5,117.0333,China,0
156,Jiangmen,22.5833,113.0833,China,0
157,Xinpu,34.5906,119.1801,China,0
158,Yibin,28.7596,104.64,China,0
159,Yangzhou,32.3912,119.4363,China,
160,Melbourne,-37.8142,144.9631,Australia,1
161,Berlin,52.52,13.405,Germany,0
162,Hengshui,37.7348,115.686,China,
163,Timbío,2.3445,-76.6839,Colombia,0
164,Kunming,25.0433,102.7061,China,1
165,Yiyang,28.5833,112.3333,China,
166,Guigang,23.0961,109.6092,China,0
167,Changchun,43.9,125.2,China,1
168,Jiangguanchi,34.0244,113.8201,China,0
169,Casablanca,33.5333,-7.5833,Morocco,1
170,Meizhou,24.2998,116.1191,China,0
171,Zhangjiakou,40.8108,114.8811,China,0
172,Chifeng,42.2663,118.9223,China,0
173,Ürümqi,43.8225,87.6125,China,1
174,Suzhou,31.3,120.6194,China,0
175,İzmir,38.42,27.14,Turkey,1
176,Linfen,36.0812,111.5087,China,
177,Shantou,23.3735,116.6941,China,0
178,Kabul,34.5253,69.1783,Afghanistan,0
179,Mogadishu,2.0392,45.3419,Somalia,0
180,Luzhou,28.8918,105.4409,China,0
181,Hefei,31.8639,117.2808,China,1
182,Boston,42.3188,-71.0852,United States,1
183,Liuzhou,24.3264,109.4281,China,0
184,Zhaoqing,23.05,112.4667,China,0
185,Xiaoxita,30.7083,111.2803,China,0
186,Shijiazhuang,38.0422,114.5086,China,1
187,Ningbo,29.875,121.5492,China,0
188,Fuzhou,27.9814,116.3577,China,
189,Phoenix,33.5722,-112.0892,United States,1
190,Zhuzhou,27.8407,113.1469,China,0
191,Amman,31.9497,35.9328,Jordan,0
192,Chuzhou,32.3062,118.3115,China,
193,Jeddah,21.5433,39.1728,Saudi Arabia,
194,Qingyuan,23.6842,113.0507,China,0
195,Loudi,27.7378,111.9974,China,
196,Binzhou,37.3806,118.0125,China,
197,Deyang,31.1289,104.395,China,0
198,Taiyuan,37.8733,112.5425,China,1
199,Kano,12,8.5167,Nigeria,1
200,Wuhu,31.334,118.3622,China,0
201,Nanning,22.8192,108.315,China,1
202,Harbin,45.75,126.6333,China,1
203,Abuja,9.0667,7.4833,Nigeria,0
204,Yokohama,35.4442,139.6381,Japan,1
205,Baojishi,34.3609,107.1751,China,
206,Zaozhuang,34.8667,117.55,China,
207,Xiamen,24.4797,118.0819,China,0
208,Neijiang,29.5872,105.0635,China,0
209,Fuzhou,26.0769,119.2917,China,1
210,Baicheng,23.901,106.6194,China,0
211,Anshan,41.1066,122.9895,China,
212,Medan,3.5894,98.6739,Indonesia,1
213,Yulinshi,38.2655,109.7388,China,
214,Wenzhou,27.9991,120.6561,China,
215,Changzhou,31.8122,119.9692,China,0
216,Puyang,35.7639,115.03,China,0
217,Jiaozuo,35.229,113.2304,China,
218,Nanchang,28.6842,115.8872,China,1
219,Ibadan,7.3964,3.9167,Nigeria,1
220,Hechi,24.6928,108.085,China,0
221,Detroit,42.3834,-83.1024,United States,
222,Montréal,45.5089,-73.5617,Canada,
223,Busan,35.18,129.075,South Korea,1
224,Hohhot,40.8151,111.6629,China,1
225,Seattle,47.6211,-122.3244,United States,
226,Algiers,36.7539,3.0589,Algeria,0
227,Hanzhong,33.0794,107.026,China,
228,Tangshan,39.6292,118.1742,China,
229,Shiyan,32.6351,110.7755,China,0
230,Lucknow,26.85,80.95,India,1
231,Siping,43.1715,124.3644,China,0
232,Mashhad,36.3,59.6,Iran,1
233,Boankra,6.6944,-1.4028,Ghana,
234,Changzhi,36.1953,113.097,China,0
235,Dubai,25.2631,55.2972,United Arab Emirates,1
236,Qinzhou,21.95,108.6167,China,0
237,Guiyang,26.5794,106.7078,China,1
238,Bengbu,32.9354,117.3531,China,
239,San Francisco,37.7558,-122.4449,United States,
240,Bazhou,31.8576,106.7559,China,0
241,Qincheng,34.5809,105.7311,China,0
242,Suining,30.5098,105.5737,China,0
243,Wuxi,31.5667,120.2833,China,0
244,Leshan,29.5854,103.7575,China,
245,Putian,25.4394,119.0103,China,0
246,Zhenjiang,32.2109,119.4551,China,0
247,Faisalabad,31.4167,73.0911,Pakistan,0
248,Guang’an,30.4673,106.6336,China,0
249,Tongren,27.7233,109.1885,China,
250,Santa Cruz,-17.7892,-63.1975,Bolivia,1
251,Qinhuangdao,39.9398,119.5881,China,
252,Tongliao,43.6172,122.264,China,0
253,Jinzhou,41.1144,121.1292,China,
254,Heyuan,23.7503,114.6923,China,0
255,San Diego,32.8313,-117.1222,United States,
256,Jaipur,26.9,75.8,India,1
257,Xinzhou,38.4178,112.7233,China,0
258,Lanzhou,36.0617,103.8318,China,1
259,Wuzhou,23.4833,111.3167,China,0
260,Athens,37.9842,23.7281,Greece,0
261,Addis Ababa,9.03,38.74,Ethiopia,0
262,Chaoyang,41.5757,120.4486,China,
263,Brasília,-15.7939,-47.8828,Brazil,0
264,Taichung,24.1439,120.6794,Taiwan,1
265,Kuwait City,29.3697,47.9783,Kuwait,0
266,Budapest,47.4925,19.0514,Hungary,0
267,Shaoguan,24.8011,113.5927,China,0
268,Shanwei,22.7664,115.3331,China,0
269,Quezon City,14.63,121.03,Philippines,1
270,Rizhao,35.4164,119.4331,China,0
271,Kyiv,50.45,30.5233,Ukraine,0
272,Sanaa,15.3483,44.2064,Yemen,0
273,Meishan,30.0575,103.8381,China,
274,Incheon,37.4833,126.6333,South Korea,1
275,Guatemala City,14.6099,-90.5252,Guatemala,0
276,Birmingham,52.48,-1.9025,United Kingdom,
277,Zhongshan,22.5333,113.35,China,0
278,Ningde,26.6617,119.5228,China,0
279,Weihai,37.5,122.1,China,0
280,Daqing,46.5979,125.008,China,0
281,Bursa,40.1833,29.05,Turkey,1
282,Salvador,-12.9747,-38.4767,Brazil,1
283,Haikou,20.02,110.32,China,1
284,La Paz,-16.5,-68.15,Bolivia,0
285,Xiangtan,27.8431,112.9228,China,
286,Pyongyang,39.0194,125.7381,North Korea,0
287,Minneapolis,44.9635,-93.2678,United States,
288,Omdurman,15.65,32.4833,Sudan,
289,Malang,-7.98,112.62,Indonesia,
290,Mudanjiang,44.5861,129.5997,China,0
291,Stuttgart,48.7775,9.18,Germany,1
292,Brooklyn,40.6501,-73.9496,United States,
293,Kaohsiung,22.615,120.2975,Taiwan,1
294,Guayaquil,-2.19,-79.8875,Ecuador,1
295,Lisbon,38.7253,-9.15,Portugal,0
296,Longyan,25.0881,117.0244,China,0
297,Tieling,42.2841,123.8365,China,
298,Manchester,53.4794,-2.2453,United Kingdom,
299,Baotou,40.6562,109.8345,China,
300,Handan,36.6116,114.4894,China,0
301,Cawnpore,26.4499,80.3319,India,
302,Dingxi,35.5806,104.6263,China,0
303,Nanping,26.6448,118.1728,China,0
304,Tampa,27.9945,-82.4447,United States,
305,Zigong,29.3498,104.7645,China,
306,Maracaibo,10.6333,-71.6333,Venezuela,1
307,Chaozhou,23.67,116.63,China,0
308,Mbuji-Mayi,-6.15,23.6,Congo (Kinshasa),1
309,Denver,39.762,-104.8758,United States,1
310,Gulou,26.0865,119.298,China,0
311,Weifang,36.7167,119.1,China,
312,Huai’an,33.5058,119.1392,China,
313,Zibo,36.7831,118.0497,China,
314,Ankang,32.6877,109.0235,China,
315,Baoshan,25.1211,99.169,China,
316,Antananarivo,-18.9333,47.5167,Madagascar,0
317,Huludao,40.7094,120.8378,China,0
318,Munich,48.1375,11.575,Germany,1
319,Yanjiang,30.1256,104.6397,China,0
320,Santo Domingo,18.4764,-69.8933,Dominican Republic,0
321,Sanming,26.2658,117.6302,China,0
322,Tashkent,41.3111,69.2797,Uzbekistan,0
323,Longba,33.535,105.349,China,
324,Yangjiang,21.8556,111.9627,China,0
325,Jiamusi,46.8081,130.3653,China,0
326,Luohe,33.583,114.0109,China,0
327,Lincang,23.8864,100.0871,China,
328,Medellín,6.2308,-75.5906,Colombia,1
329,Xuanzhou,30.9475,118.7518,China,
330,Yunfu,22.9242,112.0353,China,0
331,Shaoxing,30,120.5833,China,0
332,Yantai,37.3997,121.2664,China,
333,Huizhou,23.1115,114.4152,China,0
334,Lishui,28.45,119.9167,China,0
335,Mirzāpur,25.146,82.569,India,
336,Hamburg,53.55,10,Germany,1
337,Guangyuan,32.4353,105.8398,China,
338,Cali,3.4206,-76.5222,Colombia,1
339,Lusaka,-15.4167,28.2833,Zambia,0
340,Huangshi,30.2018,115.0326,China,0
341,Xining,36.6239,101.7787,China,1
342,Ouagadougou,12.3686,-1.5275,Burkina Faso,0
343,Daegu,35.8717,128.6017,South Korea,1
344,Fortaleza,-3.7275,-38.5275,Brazil,1
345,Yaoundé,3.8667,11.5167,Cameroon,0
346,Jilin,43.8519,126.5481,China,
347,Dandong,40.1167,124.3833,China,
348,Zhuhai,22.2769,113.5678,China,0
349,Lianshan,40.7523,120.828,China,0
350,Yingkou,40.6653,122.2297,China,0
351,Antalya,36.8874,30.7075,Turkey,1
352,Nāgpur,21.1497,79.0806,India,1
353,Queens,40.7498,-73.7976,United States,
354,Accra,5.55,-0.2,Ghana,0
355,Bekasi,-6.2349,106.9923,Indonesia,
356,Ghāziābād,28.67,77.42,India,
357,Yuxi,24.3495,102.5432,China,0
358,Luoyang,34.6587,112.4245,China,
359,Brisbane,-27.4678,153.0281,Australia,1
360,Anshun,26.2456,105.934,China,
361,Depok,-6.394,106.8225,Indonesia,
362,Shangzhou,33.868,109.9244,China,
363,Huainan,32.4831,117.0164,China,
364,Colombo,6.9344,79.8428,Sri Lanka,0
365,Kuaidamao,41.7302,125.9471,China,0
366,Baku,40.3667,49.8352,Azerbaijan,0
367,Fukuoka,33.5833,130.4,Japan,1
368,Yan’an,36.5952,109.4863,China,
369,Jincheng,35.4906,112.8483,China,0
370,Vancouver,49.25,-123.1,Canada,
371,Nantong,31.9829,120.8873,China,0
372,Tangerang,-6.1783,106.6319,Indonesia,
373,Caracas,10.4806,-66.9036,Venezuela,0
374,Sanmenxia,34.7736,111.195,China,
375,Laibin,23.7333,109.2333,China,0
376,Konya,37.8667,32.4833,Turkey,1
377,Manaus,-3.1,-60.0167,Brazil,1
378,Eşfahān,32.6447,51.6675,Iran,1
379,Qinbaling,35.7278,107.64,China,
380,Baltimore,39.3051,-76.6144,United States,
381,Ma’anshan,31.6858,118.5101,China,0
382,Shengli,37.45,118.4667,China,0
383,Gaoping,30.7824,106.1281,China,0
384,Taizhou,28.6583,121.4221,China,0
385,Harare,-17.8292,31.0522,Zimbabwe,0
386,Kowloon,22.3167,114.1833,Hong Kong,
387,Las Vegas,36.2333,-115.2654,United States,
388,Havana,23.1367,-82.3589,Cuba,0
389,Perth,-31.9559,115.8606,Australia,1
390,Phnom Penh,11.5694,104.9211,Cambodia,0
391,Puning,23.2993,116.1586,China,
392,Huaibei,33.9562,116.789,China,
393,Qingyang,24.8141,118.5792,China,0
394,Haiphong,20.8651,106.6838,Vietnam,1
395,Chongzuo,22.4167,107.3667,China,0
396,Rawalpindi,33.6,73.0333,Pakistan,0
397,Yushan,31.3867,120.9766,China,0
398,St. Louis,38.6359,-90.2451,United States,
399,Kumasi,6.6667,-1.6167,Ghana,1
400,Vadodara,22.3,73.2,India,
401,Hezhou,24.4164,111.5478,China,0
402,Pingliang,35.5412,106.6819,China,0
403,Portland,45.5371,-122.65,United States,
404,Vishākhapatnam,17.7042,83.2978,India,
405,Gujranwala,32.1567,74.19,Pakistan,0
406,Baicheng,45.6148,122.832,China,0
407,Gaziantep,37.0628,37.3792,Turkey,1
408,Fushun,41.8708,123.8917,China,
409,Riverside,33.9381,-117.3949,United States,
410,Bamako,12.6458,-7.9922,Mali,0
411,Quito,-0.22,-78.5125,Ecuador,0
